VAL,CNT
"""Microsoft Windows 10 64-bit""",7291532
"""Microsoft Windows 7 SP1 64-bit""",453070
"""Microsoft Windows 8 64-bit""",319609
"""Mac OS X 10.16.0""",231884
"""Microsoft Windows 8.1 64-bit""",217005
"""Mac OS X 10.15.7""",106281
"""Mac OS X 10.13.6""",54648
"""Mac OS X 10.14.6""",53959
"""Linux 5.4""",42627
"""Microsoft Windows 7 SP1 32-bit""",29532
"""Linux 5.8""",21609
"""Mac OS X 10.11.6""",16251
"""Mac OS X 10.15.6""",16115
"""Mac OS X 10.12.6""",14806
"""Linux 5.10""",13737
"""Microsoft Windows 7 64-bit""",12894
"""Linux 4.15""",11926
"""Microsoft Windows 8 32-bit""",11191
"""Mac OS X 10.15.5""",5668
"""Linux 4.19""",5151
"""Mac OS X 10.10.5""",4705
"""Mac OS X 10.15.4""",4433
"""Microsoft Windows 8 64-bit """,4292
"""Linux 5.9""",3208
"""Mac OS X 10.15.3""",3155
"""Mac OS X 10.14.5""",2529
"""Linux 4.4""",2464
"""Microsoft Windows 7 32-bit""",2424
"""Linux 5.3""",2398
"""Microsoft Windows Vista SP2 64-bit""",2395
"""Microsoft Windows Vista SP2 32-bit""",2393
"""Mac OS X 10.15.2""",1908
"""Mac OS X 10.9.5""",1860
"""Mac OS X 10.14.4""",1460
"""Mac OS X 10.15.1""",1439
"""Microsoft Windows 8.1 32-bit""",1257
"""Mac OS X 10.14.0""",1025
"""Microsoft Windows 7 64-bit """,1015
"""Linux 5.11""",839
"""Linux 5.7""",814
"""Mac OS X 10.14.1""",778
"""Linux 5.0""",755
"""Windows Server 64-bit""",720
"""Mac OS X 10.15.0""",559
"""Mac OS X 10.13.5""",519
"""Mac OS X 10.13.3""",496
"""Linux 4.9""",495
"""Mac OS X 10.14.2""",484
"""Linux 4.18""",465
"""Linux 4.13""",419
"""Windows Server 2016 64-bit""",401
"""Linux 4.12""",387
"""Mac OS X 10.14.3""",380
"""Mac OS X 10.13.4""",374
"""Linux 4.10""",296
"""Mac OS X 10.12.5""",285
"""Microsoft Windows 8.1 64-bit """,269
"""Mac OS X 10.12.1""",240
"""Mac OS X 10.12.0""",190
"""Mac OS X 10.11.0""",177
"""Mac OS X 10.13.0""",168
"""Linux 5.6""",157
"""Linux 5.5""",151
"""Linux 4.11""",151
"""Mac OS X 10.13.1""",149
"""Mac OS X 10.13.2""",148
"""Mac OS X 10.10.0""",146
"""Linux 3.16""",137
"""Mac OS X 10.11.1""",136
"""Microsoft Windows 10 32-bit""",136
"""Linux 4.8""",136
"""Mac OS X 10.12.4""",124
"""Mac OS X 10.12.3""",98
"""Mac OS X 10.12.2""",92
"""Linux 4.14""",88
"""Windows Server 2008 R2 SP1 64-bit""",87
"""Mac OS X 10.11.4""",73
"""Microsoft Windows XP """,68
"""Mac OS X 10.11.3""",66
"""Professional  (Build 7600)""",56
"""Mac OS X 10.10.3""",54
"""Mac OS X 10.11.5""",51
"""Microsoft Windows 7 32-bit """,48
"""Linux 3.10""",43
"""Linux 4.16""",38
"""Mac OS X 10.10.4""",36
"""Linux 4.17""",35
"""Windows Server 2012 R2 64-bit""",32
"""Microsoft Windows XP Service Pack 3 (Build 2600)""",29
"""Unsupported Windows version 64-bit""",28
"""Linux 4.20""",28
"""Linux 5.2""",24
"""Mac OS X 10.9.4""",22
"""Microsoft Windows 2000 """,20
"""Linux 5.1""",17
"""Microsoft Windows Vista 64-bit """,16
"""Linux 4.1""",16
"""Microsoft Windows Vista Service Pack 2 (Build 6002)""",15
"""Mac OS X 11.2.1""",11
"""Mac OS X 11.1.0""",8
"""Microsoft Windows 8 32-bit """,8
"""Mac OS X 11.2.0""",6
"""Linux 3.19""",6
"""Mac OS X 11.0.1""",6
"""Microsoft Windows (unrecognized) Professional """,3
"""Microsoft Windows Vista Service Pack 1 (Build 6001)""",1
"""Microsoft Windows XP Service Pack 2 (Build 2600)""",1
"""Linux 4.2""",1
"""Windows Server 2012 64-bit """,1
"""Microsoft Windows 8.1 32-bit """,1
